Agua,2,Aeropuerto,26/3/2026
Crumbl Cookie,4.49,Comida,27/3/2026
Five Guys,13.36,Comida,27/3/2026
Sebi,23.54,Regalo,27/03/2026
Medias Papa,30.7,Ropa,27/3/2026
Primark,66.34,Ropa,27/3/2026
Adidas ,79.12,Ropa,27/3/2026
Asado (No comido),15,Comida,28/03/2026
Chick Fil A,17.02,Comida,28/03/2026
Karting ,39,Entretenimiento,29/3/2026
Gym miami,10.7,Deporte,30/3/2026
Zapas Adidas,48.13,Ropa,30/3/2026
Manolo,45.88,Comida,31/3/2026
Big Pink,28.51,Comida,3/4/2026
